time,low,high,open,close,volume
2023-11-16 12:00:00,36260.32,37332.32,37260.42,36316.17,6840.34483345
2023-11-16 18:00:00,35511.11,36400.18,36314.57,36161.15,7177.31782825
2023-11-17 00:00:00,36097.28,36674.75,36161.15,36363.27,2676.16082712
2023-11-17 06:00:00,36131.0,36473.75,36365.33,36382.68,1550.02092755
2023-11-17 12:00:00,35869.0,36831.99,36382.69,36508.83,4979.85674181
2023-11-17 18:00:00,36246.84,36744.08,36508.82,36630.38,3012.81288755
2023-11-18 00:00:00,36320.8,36631.63,36631.56,36349.24,823.42112418
2023-11-18 06:00:00,36205.89,36549.8,36349.25,36420.19,613.96910919
2023-11-18 12:00:00,36367.24,36857.15,36420.19,36643.24,1165.22109682
2023-11-18 18:00:00,36466.34,36795.24,36643.24,36594.89,865.78688343
2023-11-19 00:00:00,36415.51,36599.93,36596.14,36539.74,606.15317304
2023-11-19 06:00:00,36404.82,36731.67,36539.75,36479.03,616.4498968
2023-11-19 12:00:00,36404.52,36650.0,36479.02,36623.79,679.71609015
2023-11-19 18:00:00,36615.67,37546.62,36624.98,37391.19,2464.12976345
2023-11-20 00:00:00,37063.93,37407.69,37389.06,37153.53,1804.6992082
2023-11-20 06:00:00,37073.12,37440.05,37153.54,37173.11,1326.1991742
2023-11-20 12:00:00,36720.0,37784.07,37173.11,37608.88,6043.08666338
2023-11-20 18:00:00,37307.26,37776.23,37616.02,37475.64,4940.02535348
2023-11-21 00:00:00,37312.58,37675.77,37472.76,37376.16,2045.89144758
2023-11-21 06:00:00,37161.36,37439.62,37376.16,37184.67,1280.63905452
2023-11-21 12:00:00,36264.46,37535.37,37184.66,36921.36,9700.27634377
2023-11-21 18:00:00,35744.9,37216.16,36921.33,35751.89,7810.93249751
2023-11-22 00:00:00,35633.0,36489.14,35755.33,36371.85,4251.36253794
2023-11-22 06:00:00,36371.84,36782.79,36371.84,36470.26,1778.56707979
2023-11-22 12:00:00,36241.0,36662.53,36471.62,36590.83,3786.47299045
2023-11-22 18:00:00,36569.22,37875.0,36594.75,37424.31,7790.5697871
2023-11-23 00:00:00,37275.24,37550.22,37424.31,37339.04,1956.83197976
2023-11-23 06:00:00,37163.99,37653.67,37339.04,37378.41,1978.225812
2023-11-23 12:00:00,36888.0,37537.08,37378.41,37176.6,2227.60505836
2023-11-23 18:00:00,37171.84,37396.79,37176.59,37304.05,1048.65469924
2023-11-24 00:00:00,37257.56,37497.25,37304.04,37437.38,1512.79158904
2023-11-24 06:00:00,37365.67,38103.0,37438.99,37761.77,3449.88070547
2023-11-24 12:00:00,37596.07,38454.0,37762.63,37880.07,9484.30925798
2023-11-24 18:00:00,37610.69,37984.4,37880.5,37745.84,3060.90848891
2023-11-25 00:00:00,37705.43,37872.59,37746.29,37840.34,1061.06266814
2023-11-25 06:00:00,37615.91,37860.57,37840.33,37679.5,695.91200143
2023-11-25 12:00:00,37642.17,37829.86,37677.71,37796.83,829.2103677
2023-11-25 18:00:00,37743.25,37920.27,37796.83,37805.99,981.23741188
2023-11-26 00:00:00,37690.05,37815.87,37806.84,37797.59,625.53131339
2023-11-26 06:00:00,37688.0,37842.17,37797.58,37699.65,632.82453885
2023-11-26 12:00:00,37156.72,37702.03,37699.65,37291.52,2653.02579817
2023-11-26 18:00:00,37180.46,37761.93,37289.01,37462.79,2201.67460139
2023-11-27 00:00:00,37203.01,37578.42,37462.01,37316.52,2122.77065965
2023-11-27 06:00:00,36885.87,37474.23,37316.52,37040.74,2559.21900444
2023-11-27 12:00:00,36715.1,37150.16,37042.22,36925.17,5596.67831975
2023-11-27 18:00:00,36795.47,37280.19,36923.85,37241.63,3231.78677675
2023-11-28 00:00:00,36873.55,37346.16,37241.64,36917.11,1746.49944438
2023-11-28 06:00:00,36900.37,37262.23,36916.17,37253.44,1256.87749194
2023-11-28 12:00:00,37146.58,38302.92,37252.79,38296.3,7407.35891332
2023-11-28 18:00:00,37677.92,38425.96,38296.3,37838.26,7745.73673269
2023-11-29 00:00:00,37694.85,38140.02,37838.26,38059.61,2404.94603328
2023-11-29 06:00:00,37916.86,38480.0,38061.02,38126.32,3535.5061725
2023-11-29 12:00:00,37581.93,38308.82,38125.37,37782.2,6038.30564966
2023-11-29 18:00:00,37588.05,37944.61,37782.19,37863.84,3183.93097505
2023-11-30 00:00:00,37695.42,38152.18,37864.79,37891.01,1588.04944365
2023-11-30 06:00:00,37585.75,37959.93,37891.01,37886.69,1581.10538135
2023-11-30 12:00:00,37500.0,37977.48,37888.04,37748.97,3276.01991912
2023-11-30 18:00:00,37612.59,37822.68,37749.55,37732.27,1636.01773979
2023-12-01 00:00:00,37618.25,38255.49,37732.27,38132.12,2268.17118778
2023-12-01 06:00:00,38088.0,38846.09,38132.89,38588.41,3503.96885832
2023-12-01 12:00:00,38218.3,39000.0,38588.42,38813.23,6701.68311289
2023-12-01 18:00:00,38630.78,38937.66,38813.23,38703.54,3922.07881907
2023-12-02 00:00:00,38660.03,38840.83,38706.55,38765.93,1060.84347488
2023-12-02 06:00:00,38669.46,38848.98,38765.91,38753.09,548.89980864
2023-12-02 12:00:00,38727.05,38883.13,38754.57,38814.53,1068.88518389
2023-12-02 18:00:00,38801.58,39740.0,38814.52,39478.95,4862.14035089
2023-12-03 00:00:00,39293.02,39577.0,39467.42,39436.81,1352.69583343
2023-12-03 06:00:00,39387.04,39559.18,39436.77,39492.61,513.92421314
2023-12-03 12:00:00,39393.04,39849.0,39492.61,39541.53,1904.75932738
2023-12-03 18:00:00,39457.85,40221.22,39541.37,39984.81,3381.77726389
2023-12-04 00:00:00,39983.6,41544.0,39984.81,41495.0,5980.23694663
2023-12-04 06:00:00,41318.22,42159.92,41498.76,41600.0,4520.51902818
2023-12-04 12:00:00,41131.72,41940.0,41600.0,41612.36,5777.80436971
2023-12-04 18:00:00,41503.29,42410.46,41617.0,41987.24,5714.49961102
2023-12-05 00:00:00,41616.81,41986.36,41985.53,41911.91,3614.27793083
2023-12-05 06:00:00,41384.03,41917.46,41915.48,41727.2,1762.91527272
2023-12-05 12:00:00,41691.21,44039.18,41727.2,43372.78,9534.24865265
2023-12-05 18:00:00,43310.42,45000.0,43371.32,44084.39,9107.31849854
2023-12-06 00:00:00,43541.68,44162.22,44086.33,43679.33,3694.66412381
2023-12-06 06:00:00,43369.0,44290.37,43676.42,43838.72,3351.54640302
2023-12-06 12:00:00,43727.16,44289.0,43835.04,43958.11,5073.10603232
2023-12-06 18:00:00,43601.58,44143.72,43958.11,43764.05,3858.23000701
2023-12-07 00:00:00,43710.64,44057.23,43766.41,44012.8,1383.52927642
2023-12-07 06:00:00,42846.53,44033.49,44012.13,43189.94,3562.05597639
2023-12-07 12:00:00,42957.67,43930.74,43191.14,43438.98,4592.92647934
2023-12-07 18:00:00,43072.64,43476.59,43440.59,43280.95,3516.85517873
2023-12-08 00:00:00,43276.07,43560.69,43281.11,43432.8,1539.94109975
2023-12-08 06:00:00,43087.17,43739.03,43432.8,43662.71,1757.79824463
2023-12-08 12:00:00,43480.42,44041.47,43663.3,43749.7,5280.24165848
2023-12-08 18:00:00,43742.55,44754.99,43750.42,44192.87,5001.06430124
2023-12-09 00:00:00,44040.44,44384.68,44192.86,44291.16,1284.95470552
2023-12-09 06:00:00,43750.0,44349.54,44291.17,43829.19,1229.84435
2023-12-09 12:00:00,43752.55,44156.35,43829.18,43910.34,1523.43260388
2023-12-09 18:00:00,43586.14,44090.41,43910.11,43723.25,1431.17542491
2023-12-10 00:00:00,43675.74,43969.0,43722.84,43892.84,771.57364888
2023-12-10 06:00:00,43609.99,44040.81,43893.71,43744.17,884.35916457
2023-12-10 12:00:00,43730.46,43971.13,43746.35,43818.7,898.82481829
2023-12-10 18:00:00,43562.06,44049.51,43818.69,43793.68,1364.33660475
2023-12-11 00:00:00,40300.0,43811.81,43793.67,42045.1,7473.41034496
2023-12-11 06:00:00,41720.0,42485.65,42045.09,42345.49,2958.56541487
2023-12-11 12:00:00,41256.18,42396.21,42345.24,41312.43,6355.32339042
2023-12-11 18:00:00,40150.0,41339.12,41314.5,41229.61,8737.37179666
2023-12-12 00:00:00,41153.91,41932.84,41229.61,41549.85,2712.31140906
2023-12-12 06:00:00,41377.95,42088.56,41549.39,41573.72,2023.49144809
2023-12-12 12:00:00,40650.0,42049.62,41575.87,40662.95,5302.67178505
2023-12-12 18:00:00,40636.51,41537.62,40653.8,41477.39,3376.39309435
2023-12-13 00:00:00,40553.15,41490.2,41477.6,41007.24,2747.78431917
2023-12-13 06:00:00,40787.82,41261.32,41003.6,40969.72,1388.56761203
2023-12-13 12:00:00,40955.37,42200.0,40971.05,42110.36,4574.19770857
2023-12-13 18:00:00,41974.35,43475.0,42110.36,42885.54,7086.33207431
2023-12-14 00:00:00,42675.68,42960.12,42887.39,42821.17,2344.40601173
2023-12-14 06:00:00,42693.14,43313.78,42823.48,43270.68,1982.49155977
2023-12-14 12:00:00,41426.76,43442.15,43270.7,43223.8,7531.01401007
2023-12-14 18:00:00,42808.61,43228.31,43223.8,43027.77,3576.34813227
2023-12-15 00:00:00,42500.0,43095.71,43027.77,42598.07,1858.05640329
2023-12-15 06:00:00,42524.19,43041.95,42598.07,42778.2,1350.83474924
2023-12-15 12:00:00,41640.51,42789.39,42781.08,41828.02,4434.84741503
2023-12-15 18:00:00,41805.53,42275.21,41828.02,41933.89,3217.99007911
2023-12-16 00:00:00,41626.66,42382.74,41934.84,42247.7,1627.08023938
2023-12-16 06:00:00,42066.32,42305.84,42247.7,42290.38,838.54534916
2023-12-16 12:00:00,42218.65,42680.2,42294.02,42485.19,1457.94431015
2023-12-16 18:00:00,42116.66,42500.0,42483.83,42237.29,1392.08592438
2023-12-17 00:00:00,41741.83,42267.69,42235.23,41869.22,1221.93907103
2023-12-17 06:00:00,41629.08,42000.0,41869.25,41901.65,1275.18742398
2023-12-17 12:00:00,41500.0,42367.82,41901.65,42034.06,2052.02815822
2023-12-17 18:00:00,41222.0,42181.82,42036.37,41349.59,2099.91030442
2023-12-18 00:00:00,40765.27,41421.1,41349.59,40967.43,2532.34110274
2023-12-18 06:00:00,40508.01,41261.71,40967.43,41062.49,2661.63860325
2023-12-18 12:00:00,40847.12,41716.71,41063.21,41377.78,3315.33285558
2023-12-18 18:00:00,41277.0,42754.79,41369.43,42650.01,4885.02218667
2023-12-19 00:00:00,42552.95,43461.86,42650.01,42947.95,3329.57041108
2023-12-19 06:00:00,42802.64,43256.49,42947.96,42955.67,1347.77117763
2023-12-19 12:00:00,41793.78,43030.41,42955.67,41822.86,4900.03445596
2023-12-19 18:00:00,41780.0,42499.0,41823.04,42266.22,3826.55843061
2023-12-20 00:00:00,42184.48,42844.45,42266.25,42700.18,1831.21260652
2023-12-20 06:00:00,42619.56,43001.91,42701.17,42861.04,1839.79235978
2023-12-20 12:00:00,42755.35,44324.86,42859.76,44021.51,9810.46419958
2023-12-20 18:00:00,43254.82,44297.89,44022.79,43674.77,5825.63979852
2023-12-21 00:00:00,43295.78,43734.75,43673.11,43500.66,2028.02675807
2023-12-21 06:00:00,43469.04,44098.42,43500.01,43929.13,2135.19117041
2023-12-21 12:00:00,43361.44,44250.0,43928.75,43447.97,4705.11264431
2023-12-21 18:00:00,43390.87,44138.45,43447.98,43875.32,4302.64224941
2023-12-22 00:00:00,43746.99,44280.15,43875.56,44156.78,2169.81854941
2023-12-22 06:00:00,43472.56,44424.36,44152.85,43751.59,2874.35370876
2023-12-22 12:00:00,43412.82,43824.15,43752.04,43720.23,2862.73154556
2023-12-22 18:00:00,43630.69,44091.12,43720.23,44013.73,2826.64967706
2023-12-23 00:00:00,43333.35,44033.84,44013.65,43639.9,1532.97561742
2023-12-23 06:00:00,43513.92,43701.05,43639.53,43569.14,577.71132617
2023-12-23 12:00:00,43569.13,43894.7,43569.14,43774.49,938.33847299
2023-12-23 18:00:00,43659.08,43881.61,43774.5,43726.35,1026.06412314
2023-12-24 00:00:00,43456.2,43985.67,43728.36,43516.41,1283.25275108
2023-12-24 06:00:00,43434.62,43721.81,43517.85,43655.99,637.6060199
2023-12-24 12:00:00,43578.33,43901.7,43658.1,43654.11,882.83275807
2023-12-24 18:00:00,42614.17,43719.56,43656.52,43025.03,2143.31012664
2023-12-25 00:00:00,42755.35,43241.15,43025.02,43231.21,1245.26433409
2023-12-25 06:00:00,43056.87,43339.64,43233.08,43188.37,807.05591328
